municipio,nascimentos
290010 Abaira,46
290020 Abare,318
290030 Acajutiba,159
290035 Adustina,143
290040 agua Fria,127
290060 Aiquara,44
290070 Alagoinhas,2136
290080 Alcobaca,333
290090 Almadina,59
290100 Amargosa,459
290110 Amelia Rodrigues,175
290115 America Dourada,209
,
290130 Andarai,180
290135 Andorinha,177
290140 Angical,184
290150 Anguera,53
290160 Antas,153
290170 Antonio Cardoso,141
290180 Antonio Goncalves,160
290190 Apora,169
290195 Apuarema,103
290205 Aracas,151
290200 Aracatu,158
290210 Araci,661
290220 Aramari,100
290225 Arataca,139
290230 Aratuipe,135
290240 Aurelino Leal,190
290250 Baianopolis,186
290260 Baixa Grande,204
290265 Banzae,161
290270 Barra,834
290280 Barra da Estiva,421
290290 Barra do Choca,540
290300 Barra do Mendes,148
290310 Barra do Rocha,59
290320 Barreiras,2545
290323 Barro Alto,156
290330 Barro Preto,61
290327 Barrocas,170
290340 Belmonte,316
290350 Belo Campo,219
290360 Biritinga,214
290370 Boa Nova,176
290380 Boa Vista do Tupim,234
290390 Bom Jesus da Lapa,1087
290395 Bom Jesus da Serra,125
290400 Boninal,180
290405 Bonito,245
290410 Boquira,247
290420 Botupora,132
290430 Brejoes,139
290440 Brejolandia,98
290450 Brotas de Macaubas,146
290460 Brumado,856
290470 Buerarema,202
290475 Buritirama,310
290480 Caatiba,66
290485 Cabaceiras do Paraguacu,208
290490 Cachoeira,360
290500 Cacule,310
290510 Caem,149
290515 Caetanos,122
290520 Caetite,676
290530 Cafarnaum,241
290540 Cairu,303
290550 Caldeirao Grande,191
290560 Camacan,345
290570 Camacari,3893
290580 Camamu,570
290590 Campo Alegre de Lourdes,516
290600 Campo Formoso,1122
290610 Canapolis,128
290620 Canarana,306
290630 Canavieiras,431
290640 Candeal,62
290650 Candeias,975
290660 Candiba,169
290670 Candido Sales,341
290680 Cansancao,466
290682 Canudos,210
290685 Capela do Alto Alegre,103
290687 Capim Grosso,447
290689 Caraibas,88
290690 Caravelas,267
290700 Cardeal da Silva,108
290710 Carinhanha,439
290720 Casa Nova,985
290730 Castro Alves,305
290740 Catolandia,42
290750 Catu,467
290755 Caturama,83
290760 Central,202
290770 Chorrocho,141
290780 Cicero Dantas,315
290790 Cipo,274
290800 Coaraci,195
290810 Cocos,274
290820 Conceicao da Feira,238
290830 Conceicao do Almeida,161
